2025-03-27 10:47:32 INFO  org.example.ExeptionsExamples:19 - as
2025-03-27 10:49:11 INFO  org.example.ExeptionsExamples:19 - 
2025-03-27 10:54:35 INFO  org.example.TryCatchExamples:16 - Introduce un número
2025-03-27 10:54:38 ERROR org.example.TryCatchExamples:21 - El valor introducido no es un número
2025-03-27 10:54:42 INFO  org.example.TryCatchExamples:16 - Introduce un número
2025-03-27 10:54:45 INFO  org.example.TryCatchExamples:19 - EL número introducido es 5
2025-03-27 10:56:50 INFO  org.example.TryCatchExamples:16 - Introduce un número
2025-03-27 10:56:52 INFO  org.example.TryCatchExamples:20 - Introduce otr número
2025-03-27 10:57:26 INFO  org.example.TryCatchExamples:16 - Introduce un número
2025-03-27 10:57:30 INFO  org.example.TryCatchExamples:20 - Introduce otr número
2025-03-27 10:57:31 ERROR org.example.TryCatchExamples:28 - No se puede dividir 0 entre 0
2025-03-28 14:01:43 INFO  org.example.ExeptionsExercices:15 - org.example.StudentReader@51efea79
2025-03-28 14:01:43 INFO  org.example.ExeptionsExercices:24 - Introduzca un número
2025-03-28 14:02:05 INFO  org.example.ExeptionsExercices:16 - org.example.StudentReader@51efea79
2025-03-28 14:02:05 INFO  org.example.ExeptionsExercices:25 - Introduzca un número
2025-03-28 14:02:32 INFO  org.example.ExeptionsExercices:16 - org.example.StudentReader@51efea79
2025-03-28 14:02:32 INFO  org.example.ExeptionsExercices:17 - org.example.StudentReader@51efea79
2025-03-28 14:02:32 INFO  org.example.ExeptionsExercices:26 - Introduzca un número
2025-03-31 09:00:56 INFO  org.example.ExeptionsExercices:17 - org.example.StudentReader@9629756
2025-03-31 09:00:56 INFO  org.example.ExeptionsExercices:28 - Introduzca un número
2025-03-31 09:00:59 INFO  org.example.ExeptionsExercices:46 - Introduzca un número: 
2025-03-31 09:01:01 INFO  org.example.ExeptionsExercices:53 - Introduzca el segundo número, que tiene que ser mayor que 0: 
2025-03-31 09:01:01 INFO  org.example.ExeptionsExercices:65 - Introduzca un número distinto de 0
2025-03-31 09:02:14 INFO  org.example.ExeptionsExercices:17 - org.example.StudentReader@51efea79
2025-03-31 09:02:14 INFO  org.example.ExeptionsExercices:28 - Introduzca un número
2025-03-31 09:02:18 INFO  org.example.ExeptionsExercices:46 - Introduzca un número: 
2025-03-31 09:02:20 INFO  org.example.ExeptionsExercices:62 - Introduzca un número distinto de 0
2025-03-31 09:05:49 INFO  org.example.ExeptionsExercices:17 - org.example.StudentReader@51efea79
2025-03-31 09:05:49 INFO  org.example.ExeptionsExercices:28 - Introduzca un número
2025-03-31 09:05:54 INFO  org.example.ExeptionsExercices:46 - Introduzca un número: 
2025-03-31 09:05:59 INFO  org.example.ExeptionsExercices:62 - Introduzca un número distinto de 0
2025-03-31 09:06:03 INFO  org.example.ExeptionsExercices:65 - El número es igual a cero, introduzca otro valor
2025-03-31 09:06:10 INFO  org.example.ExeptionsExercices:17 - org.example.StudentReader@51efea79
2025-03-31 09:06:10 INFO  org.example.ExeptionsExercices:28 - Introduzca un número
2025-03-31 09:06:12 INFO  org.example.ExeptionsExercices:46 - Introduzca un número: 
2025-03-31 09:06:14 INFO  org.example.ExeptionsExercices:62 - Introduzca un número distinto de 0
2025-03-31 09:08:16 INFO  org.example.ExeptionsExercices:17 - org.example.StudentReader@51efea79
2025-03-31 09:08:16 INFO  org.example.ExeptionsExercices:28 - Introduzca un número
2025-03-31 09:08:19 INFO  org.example.ExeptionsExercices:46 - Introduzca un número: 
2025-03-31 09:08:22 INFO  org.example.ExeptionsExercices:62 - Introduzca un número distinto de 0
2025-03-31 09:10:41 INFO  org.example.ExeptionsExercices:17 - org.example.StudentReader@51efea79
2025-03-31 09:10:41 INFO  org.example.ExeptionsExercices:28 - Introduzca un número
2025-03-31 09:10:43 INFO  org.example.ExeptionsExercices:46 - Introduzca un número: 
2025-03-31 09:10:44 INFO  org.example.ExeptionsExercices:62 - Introduzca un número distinto de 0
2025-03-31 10:00:05 INFO  org.example.ExeptionsExercices:42 - Introduzca un número: 
2025-03-31 10:00:17 INFO  org.example.ExeptionsExercices:59 - Introduzca un número distinto de 0
2025-03-31 10:00:20 INFO  org.example.ExeptionsExercices:62 - El número es igual a cero, introduzca otro valor
2025-03-31 10:00:24 INFO  org.example.ExeptionsExercices:42 - Introduzca un número: 
2025-03-31 10:00:27 INFO  org.example.ExeptionsExercices:59 - Introduzca un número distinto de 0
